رقم المستخدم,السنة,الشهر,العمر,تفضيلات مجالات التبرع ,الجنس
1,2024,1,9,تعليمي,ذكر
2,2024,1,10,غذائي,أنثى
3,2024,1,12,أخرى,ذكر
4,2024,1,15,ديني,أنثى
5,2024,1,15,صحي,أنثى
6,2024,1,16,أخرى,أنثى
7,2024,1,16,أخرى,ذكر
8,2024,1,16,اجتماعي,ذكر
9,2024,1,16,تعليمي,أنثى
10,2024,1,16,ديني,أنثى
11,2024,1,16,ديني,أنثى
12,2024,1,16,ديني,أنثى
13,2024,1,16,ديني,أنثى
14,2024,1,16,ديني,ذكر
15,2024,1,17,أخرى,أنثى
16,2024,1,17,أخرى,أنثى
17,2024,1,17,أخرى,أنثى
18,2024,1,17,أخرى,أنثى
19,2024,1,17,أخرى,ذكر
20,2024,1,17,اجتماعي,أنثى
21,2024,1,17,ديني,أنثى
22,2024,1,17,ديني,أنثى
23,2024,1,17,ديني,أنثى
24,2024,1,17,ديني,أنثى
25,2024,1,17,ديني,أنثى
26,2024,1,17,ديني,ذكر
27,2024,1,17,ديني,ذكر
28,2024,1,17,"ديني,صحي,تعليمي,أخرى",أنثى
29,2024,1,17,صحي,ذكر
30,2024,1,17,"صحي,تقني,بيئي,اجتماعي,سكني,تعليمي,غذائي,ديني,أخرى",أنثى
31,2024,1,17,"غذائي,سكني,صحي,ديني",أنثى
32,2024,1,18,أخرى,أنثى
33,2024,1,18,أخرى,أنثى
34,2024,1,18,أخرى,أنثى
35,2024,1,18,أخرى,ذكر
36,2024,1,18,أخرى,ذكر
37,2024,1,18,"أخرى,تقني,تعليمي,غذائي,سكني,صحي,بيئي,ديني,اجتماعي",أنثى
38,2024,1,18,اجتماعي,أنثى
39,2024,1,18,"اجتماعي,تقني,بيئي,تعليمي,غذائي,سكني,ديني,صحي",أنثى
40,2024,1,18,"بيئي,اجتماعي,ديني,صحي,سكني,غذائي,تعليمي,أخرى,تقني",ذكر
41,2024,1,18,تعليمي,أنثى
42,2024,1,18,تعليمي,أنثى
43,2024,1,18,تعليمي,أنثى
44,2024,1,18,تعليمي,أنثى
45,2024,1,18,ديني,أنثى
46,2024,1,18,ديني,أنثى
47,2024,1,18,ديني,أنثى
48,2024,1,18,ديني,أنثى
49,2024,1,18,ديني,ذكر
50,2024,1,18,ديني,ذكر
51,2024,1,18,ديني,ذكر
52,2024,1,18,"ديني,تعليمي,غذائي,أخرى",أنثى
53,2024,1,18,"ديني,غذائي",أنثى
54,2024,1,18,صحي,أنثى
55,2024,1,18,صحي,ذكر
56,2024,1,18,"صحي,تعليمي,غذائي,سكني,ديني,اجتماعي,بيئي,تقني,الاستدامة,أخرى",أنثى
57,2024,1,18,"صحي,ديني,سكني,غذائي",أنثى
58,2024,1,18,غذائي,أنثى
59,2024,1,18,غذائي,أنثى
60,2024,1,18,غذائي,أنثى
61,2024,1,18,غذائي,ذكر
62,2024,1,18,غذائي,ذكر
63,2024,1,18,غذائي,ذكر
64,2024,1,18,غذائي,ذكر
65,2024,1,18,غذائي,ذكر
66,2024,1,18,"غذائي,سكني,صحي,ديني,اجتماعي",أنثى
67,2024,1,19,أخرى,أنثى
68,2024,1,19,أخرى,ذكر
69,2024,1,19,أخرى,ذكر
70,2024,1,19,"أخرى,اجتماعي",أنثى
71,2024,1,19,"أخرى,تقني,بيئي,اجتماعي,ديني,صحي,سكني,غذائي,تعليمي",أنثى
72,2024,1,19,اجتماعي,أنثى
73,2024,1,19,اجتماعي,أنثى
74,2024,1,19,اجتماعي,ذكر
75,2024,1,19,"اجتماعي,صحي",أنثى
76,2024,1,19,تعليمي,ذكر
77,2024,1,19,"تعليمي,أخرى",ذكر
78,2024,1,19,"تعليمي,أخرى,غذائي,سكني,صحي,ديني,اجتماعي,بيئي,تقني",ذكر
79,2024,1,19,"تعليمي,ديني,اجتماعي,صحي,غذائي,سكني,تقني,بيئي",أنثى
80,2024,1,19,"تعليمي,غذائي,سكني,صحي,ديني,اجتماعي",ذكر
81,2024,1,19,ديني,أنثى
82,2024,1,19,ديني,أنثى
83,2024,1,19,ديني,أنثى
84,2024,1,19,ديني,أنثى
85,2024,1,19,ديني,أنثى
86,2024,1,19,ديني,أنثى
87,2024,1,19,ديني,أنثى
88,2024,1,19,ديني,ذكر
89,2024,1,19,ديني,ذكر
90,2024,1,19,ديني,ذكر
91,2024,1,19,ديني,ذكر
92,2024,1,19,"ديني,اجتماعي",ذكر
93,2024,1,19,"ديني,تعليمي",أنثى
94,2024,1,19,"ديني,تعليمي,غذائي,صحي",أنثى
95,2024,1,19,"ديني,صحي,اجتماعي,أخرى",أنثى
96,2024,1,19,"سكني,ديني,صحي",أنثى
97,2024,1,19,صحي,أنثى
98,2024,1,19,صحي,أنثى
99,2024,1,19,"صحي,أخرى,تعليمي",أنثى
100,2024,1,19,"صحي,سكني",أنثى
101,2024,1,19,غذائي,أنثى
102,2024,1,19,غذائي,أنثى
103,2024,1,19,غذائي,أنثى
104,2024,1,19,غذائي,أنثى
105,2024,1,19,غذائي,أنثى
106,2024,1,19,غذائي,أنثى
107,2024,1,19,غذائي,ذكر
108,2024,1,19,غذائي,ذكر
109,2024,1,20,أخرى,أنثى
110,2024,1,20,أخرى,أنثى
111,2024,1,20,أخرى,أنثى
112,2024,1,20,أخرى,أنثى
113,2024,1,20,أخرى,أنثى
114,2024,1,20,أخرى,أنثى
115,2024,1,20,أخرى,أنثى
116,2024,1,20,أخرى,أنثى
117,2024,1,20,أخرى,أنثى
118,2024,1,20,أخرى,أنثى
119,2024,1,20,أخرى,أنثى
120,2024,1,20,أخرى,أنثى
121,2024,1,20,أخرى,ذكر
122,2024,1,20,أخرى,ذكر
123,2024,1,20,"أخرى,بيئي,صحي",أنثى
124,2024,1,20,تعليمي,أنثى
125,2024,1,20,تعليمي,ذكر
126,2024,1,20,"تقني,غذائي,صحي",أنثى
127,2024,1,20,ديني,أنثى
128,2024,1,20,ديني,أنثى
129,2024,1,20,ديني,أنثى
130,2024,1,20,ديني,ذكر
131,2024,1,20,ديني,ذكر
132,2024,1,20,ديني,ذكر
133,2024,1,20,"ديني,اجتماعي,سكني,تعليمي,غذائي,صحي",أنثى
134,2024,1,20,"ديني,تعليمي,اجتماعي,تقني,صحي",ذكر
135,2024,1,20,"ديني,تعليمي,غذائي,سكني,صحي,تقني,اجتماعي",ذكر
136,2024,1,20,"ديني,تقني,الاستدامة,تعليمي,سكني,بيئي,اجتماعي,صحي,غذائي",ذكر
137,2024,1,20,"ديني,صحي",ذكر
138,2024,1,20,"ديني,صحي,تعليمي,بيئي",أنثى
139,2024,1,20,سكني,ذكر
140,2024,1,20,صحي,أنثى
141,2024,1,20,صحي,أنثى
142,2024,1,20,صحي,أنثى
143,2024,1,20,صحي,أنثى
144,2024,1,20,صحي,ذكر
145,2024,1,20,"صحي,اجتماعي,الاستدامة",أنثى
146,2024,1,20,"صحي,سكني,اجتماعي,غذائي",أنثى
147,2024,1,20,غذائي,أنثى
148,2024,1,20,غذائي,أنثى
149,2024,1,20,غذائي,أنثى
150,2024,1,20,غذائي,أنثى
151,2024,1,20,غذائي,ذكر
152,2024,1,20,غذائي,ذكر
153,2024,1,20,"غذائي,اجتماعي,صحي,ديني",أنثى
154,2024,1,20,"غذائي,ديني",ذكر
155,2024,1,20,"غذائي,صحي,اجتماعي",أنثى
156,2024,1,21,أخرى,أنثى
157,2024,1,21,أخرى,أنثى
158,2024,1,21,أخرى,أنثى
159,2024,1,21,أخرى,أنثى
160,2024,1,21,أخرى,ذكر
161,2024,1,21,"أخرى,تقني,بيئي,اجتماعي,ديني,صحي,سكني,غذائي,تعليمي",أنثى
162,2024,1,21,"أخرى,ديني,غذائي",أنثى
163,2024,1,21,"اجتماعي,ديني,غذائي,صحي,تقني,أخرى,سكني,بيئي,تعليمي",أنثى
164,2024,1,21,بيئي,ذكر
165,2024,1,21,تعليمي,أنثى
166,2024,1,21,"تعليمي,أخرى,تقني,بيئي,اجتماعي,ديني,صحي,غذائي,سكني",ذكر
167,2024,1,21,"تعليمي,سكني",ذكر
168,2024,1,21,"تعليمي,سكني,صحي,ديني,اجتماعي,أخرى,بيئي,غذائي",أنثى
169,2024,1,21,"تعليمي,غذائي",أنثى
170,2024,1,21,"تعليمي,غذائي,صحي",ذكر
171,2024,1,21,ديني,أنثى
172,2024,1,21,ديني,أنثى
173,2024,1,21,ديني,أنثى
174,2024,1,21,ديني,أنثى
175,2024,1,21,ديني,ذكر
176,2024,1,21,ديني,ذكر
177,2024,1,21,"ديني,صحي,اجتماعي",أنثى
178,2024,1,21,"ديني,صحي,اجتماعي",أنثى
179,2024,1,21,"ديني,غذائي",ذكر
180,2024,1,21,"ديني,غذائي,تعليمي,اجتماعي,صحي,بيئي",أنثى
181,2024,1,21,"ديني,غذائي,صحي,تعليمي,سكني,اجتماعي,بيئي,أخرى",أنثى
182,2024,1,21,سكني,أنثى
183,2024,1,21,سكني,أنثى
184,2024,1,21,"سكني,غذائي,تعليمي",أنثى
185,2024,1,21,"سكني,غذائي,ديني",ذكر
186,2024,1,21,صحي,أنثى
187,2024,1,21,صحي,أنثى
188,2024,1,21,صحي,أنثى
189,2024,1,21,صحي,ذكر
190,2024,1,21,صحي,ذكر
191,2024,1,21,صحي,ذكر
192,2024,1,21,صحي,ذكر
193,2024,1,21,صحي,ذكر
194,2024,1,21,"صحي,بيئي,تعليمي,ديني,اجتماعي,سكني,غذائي,تقني,أخرى",أنثى
195,2024,1,21,"صحي,ديني",أنثى
196,2024,1,21,"صحي,ديني,اجتماعي",أنثى
197,2024,1,21,"صحي,ديني,اجتماعي,بيئي",أنثى
198,2024,1,21,"صحي,ديني,غذائي",أنثى
199,2024,1,21,"صحي,سكني,غذائي,ديني,اجتماعي",أنثى
200,2024,1,21,"صحي,غذائي,ديني,أخرى",أنثى
201,2024,1,21,غذائي,أنثى
